autor_id|autor_nombre|libro_titulo|anio_publicacion|sinopsis|UrlImagen
1|George Orwell|1984|1949|"En 1984, los ciudadanos de Londres ya no distinguen entre el aspecto privado y público de sus vidas. Empleando sus técnicas de vigilancia sobre la población, el Gran Hermano les ha arrebatado la intimidad. Winston Smith es un funcionario cuyo trabajo consiste en escribir y reescribir la historia para el Ministerio de la Verdad, una de las instituciones del estado totalitario que subyuga al ciudadano. Un día, Smith siente que ya no quiere formar parte de los engranajes del sistema opresivo."|https://proassetspdlcom.cdnstatics2.com/usuaris/libros/thumbs/b59f709a-ce74-4e50-a3a3-3527d68da121/d_360_620/portada_1984_george-orwell_202102151044.webp
1|George Orwell|Rebelión en la granja|1945|"Una fábula política donde los animales de una granja derrocan a sus amos humanos para establecer un nuevo orden. Sin embargo, pronto descubren que la lucha por la igualdad puede terminar en una nueva tiranía."|https://proassetspdlcom.cdnstatics2.com/usuaris/libros/thumbs/a1ebb647-56f6-4c85-9c2e-a6f9ebb1ef27/d_360_620/portada_rebelion-en-la-granja_george-orwell_202104141022.webp
2|Ray Bradbury|Fahrenheit 451|1953|"En un futuro donde los libros están prohibidos y los bomberos los queman, Montag comienza a cuestionar su labor. Su despertar intelectual lo enfrenta a una sociedad que prefiere la ignorancia a la verdad."|https://upload.wikimedia.org/wikipedia/en/d/db/Fahrenheit_451_1st_ed_cover.jpg
2|Ray Bradbury|Crónicas Marcianas|1950|"Una colección de relatos que narra la colonización de Marte por parte de los humanos. Las historias exploran la soledad, el choque cultural y la nostalgia por la Tierra perdida."|https://auladefilosofia.net/wp-content/uploads/2008/10/cronicas-marcianas.jpg?w=640
3|Aldous Huxley|Un mundo feliz|1932|"En una sociedad donde todo está controlado por la ciencia y el placer, la libertad individual ha desaparecido. Un outsider desafía las normas del sistema en busca de sentido y verdad."|https://www.huxley.net/es/un-mundo-feliz.jpg
3|Aldous Huxley|La Isla|1962|"En contraste con Un mundo feliz, esta novela presenta una utopía basada en la sabiduría espiritual y la ciencia equilibrada. Un periodista náufrago descubre una sociedad ideal que desafía su visión del mundo."|https://images.cdn1.buscalibre.com/fit-in/360x360/21/cc/21cc9c5dc6dbeedecd6c36c62081b83f.jpg
4|J.R.R. Tolkien|El Hobbit|1937|"Bilbo Bolsón, un hobbit tranquilo, se embarca en una inesperada aventura con un grupo de enanos para recuperar un tesoro custodiado por el dragón Smaug. Durante el viaje, Bilbo descubre su coraje y astucia."|https://images.cdn3.buscalibre.com/fit-in/360x360/e3/70/e370c3bf3e8fe97787c802fd14d960be.jpg
4|J.R.R. Tolkien|El Señor de los Anillos|1954|"Una épica historia de fantasía donde un joven hobbit debe destruir un anillo maligno para salvar la Tierra Media. Acompañado por héroes de distintas razas, enfrenta peligros y tentaciones en su misión."|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbEgFzUnHGxhNp5qN0In9jG6pVD8NEa3zo3-Bz3sZh7w4lL2QSwvfcUvL3Iq2KmZiSShTbBqhFK7HFHJDBPJ03pbrMdrDFJDcoSPF4l8sezAmg6uIZVIrPOWiqvICCiZ-k2HypOuYo2fd_/s1600/Tolkien.jpg
5|J.K. Rowling|Harry Potter y la piedra filosofal|1997|"Harry, un niño huérfano, descubre que es un mago y asiste a Hogwarts, una escuela de magia. Allí conoce a nuevos amigos y enemigos, y descubre un oscuro secreto sobre su pasado."|https://www.penguinlibros.com/ar/2125674-home_default/harry-potter-y-la-piedra-filosofal-harry-potter-edicion-minalima-1.jpg
5|J.K. Rowling|Harry Potter y la cámara secreta|1998|"En su segundo año en Hogwarts, Harry enfrenta una amenaza mortal cuando una cámara secreta es abierta. Con la ayuda de sus amigos, deberá resolver el misterio antes de que sea demasiado tarde."|https://www.quade.com.ar/875072-large_default/harry-potter-y-la-camara-secreta-2-tapa-dura-slytherin.jpg
6|Isaac Asimov|Fundación|1951|"Hari Seldon desarrolla una ciencia que predice el colapso del Imperio Galáctico. Para preservar el conocimiento y reducir la barbarie futura, crea la Fundación, una colonia científica con una misión crucial."|https://cdn.agapea.com/Harper-Voyager/Foundation-i1n13634889.jpg
6|Isaac Asimov|Yo Robot|1950|"Una colección de relatos que exploran los dilemas éticos, morales y técnicos de los robots, regidos por las famosas Tres Leyes de la Robótica."|https://images.cdn1.buscalibre.com/fit-in/360x360/17/44/1744de281cb8442acfc8203ec5f14dc8.jpg
7|Arthur C. Clarke|2001: Una odisea espacial|1968|"Una misión a Júpiter se ve alterada por una inteligencia extraterrestre y la evolución de la inteligencia artificial representada por la computadora HAL 9000."|https://images.cdn3.buscalibre.com/fit-in/360x360/16/c5/16c514e31d606ce130ecd2b24f47e523.jpg
7|Arthur C. Clarke|Cita con Rama|1973|"Una gigantesca nave alienígena entra en el sistema solar y una expedición humana investiga su misterioso interior antes de que abandone el sistema."|https://tercerafundacion.net/imagenes/portada/P-00000250.jpg
8|Mary Shelley|Frankenstein|1818|"El científico Victor Frankenstein crea vida a partir de materia muerta, desencadenando una tragedia cuando su creación busca afecto y venganza por su rechazo."|https://i.pinimg.com/736x/20/84/42/2084422c594f68fbf54e12490183bff7.jpg
9|Bram Stoker|Drácula|1897|"El conde Drácula viaja de Transilvania a Londres, desatando el terror mientras un grupo liderado por Van Helsing lucha por detener su reinado de oscuridad."|https://i.pinimg.com/564x/d0/d7/f2/d0d7f288583cc2eaaaff5fb9f58648e5.jpg
10|Stephen King|El resplandor|1977|"Jack Torrance acepta un trabajo como cuidador de un hotel aislado, donde fuerzas sobrenaturales y su propia inestabilidad lo empujan a la locura, amenazando a su familia."|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgqerXhk_bQJzTlsZQMPGdNIiwyxwadApfo52moTefWQ&s&ec=72940544
10|Stephen King|It|1986|"Un grupo de amigos se enfrenta a una entidad maligna que toma la forma de sus peores miedos, reapareciendo cada 27 años en la ciudad de Derry."|https://i.blogs.es/2c757c/itportada1/650_1200.jpg
11|Philip K. Dick|Sueñan los androides con ovejas eléctricas|1968|"En un mundo post-apocalíptico, un cazador de recompensas debe retirar androides rebeldes que parecen humanos mas que los propios humanos."|https://i1.whakoom.com/large/16/0e/ca9e49892a584baba0e84259bd3a8efa.jpg
11|Philip K. Dick|El hombre en el castillo|1962|"Una historia alternativa donde el Eje ganó la Segunda Guerra Mundial y EE.UU. está dividido entre el Japón imperial y la Alemania nazi, mientras una novela prohibida muestra otro posible mundo."|https://www.planetadelibros.com.ar/usuaris/libros/fotos/126/m_libros/125670_portada_el-hombre-en-el-castillo_philip-k-dick_201707191556.jpg
12|Frank Herbert|Dune|1965|"En el árido planeta Arrakis, el joven Paul Atreides se ve envuelto en una lucha por el control de la especia, una sustancia vital. Su destino lo llevará a convertirse en el líder de una revolución."|https://http2.mlstatic.com/D_NQ_NP_729138-MLU77290623036_072024-O.webp
13|Ernest Hemingway|El viejo y el mar|1952|"Un viejo pescador cubano lucha durante días contra un enorme marlín en el mar abierto, en una historia sobre resistencia, dignidad y la lucha del hombre contra la naturaleza."|https://images.cdn2.buscalibre.com/fit-in/360x360/9e/a1/9ea15a2f278a3e48104af88aa1dc03ce.jpg
13|Ernest Hemingway|Por quién doblan las campanas|1940|"Durante la Guerra Civil Española, un estadounidense lucha con guerrilleros republicanos y reflexiona sobre la guerra, la muerte y el amor mientras planea volar un puente clave."|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzcCyMEvyg8-vslIruPiNVIWTihpXpuLNB6b8EIdPgrQ&s&ec=72940544
14|F. Scott Fitzgerald|El gran Gatsby|1925|"Jay Gatsby, un misterioso millonario, organiza lujosas fiestas en un intento de recuperar el amor perdido de Daisy Buchanan, en una crítica a la decadencia del sueño americano."|https://www.penguinlibros.com/ar/1596979/el-gran-gatsby.jpg
15|Leo Tolstoy|Anna Karenina|1877|"Una aristócrata rusa se enamora del conde Vronsky y enfrenta la condena social, mientras otras historias paralelas exploran el matrimonio, la fe y la moral en la sociedad rusa del siglo XIX."|https://images.cdn2.buscalibre.com/fit-in/360x360/3e/50/3e5097ddeb0142b4140d6c4be870d9ce.jpg
15|Leo Tolstoy|Guerra y paz|1869|"Una epopeya histórica que sigue a varias familias rusas durante las guerras napoleónicas, explorando el amor, la pérdida y la transformación social en tiempos de guerra."|https://images.cdn3.buscalibre.com/fit-in/360x360/27/e6/27e64a187a4ef69f848cbff542049074.jpg
16|Jane Austen|Orgullo y prejuicio|1813|"Elizabeth Bennet desafía las normas sociales de su tiempo mientras se enfrenta al orgulloso Sr. Darcy, en una historia sobre amor, clase social y malentendidos."|https://www.planetadelibros.com/usuaris/libros/fotos/381/original/portada_orgullo-y-prejuicio_jane-austen_202307201110.jpg
16|Jane Austen|Emma|1815|"Emma Woodhouse, joven rica e ingeniosa, se entromete en la vida amorosa de sus conocidos con consecuencias inesperadas, mientras descubre el verdadero amor en su propia vida."|https://janeausten.org.es/blog/wp-content/uploads/2022/11/portada_emma_jane-austen_202206131223-scaled.jpg
17|Charles Dickens|Oliver Twist|1838|"Un niño huérfano escapa del orfanato y sobrevive en los bajos fondos de Londres, mientras busca una vida mejor y descubre su verdadero origen."|https://images.cdn2.buscalibre.com/fit-in/360x360/5b/1c/5b1c24d5ca2ee3162f8c713a85b41ef7.jpg
17|Charles Dickens|Un cuento de navidad|1843|"Este relato navideño, publicado en 1843, relata la transformacion del avaricioso Scrooge gracias a las visiones de los fantasmas de la navidad."|https://images.cdn2.buscalibre.com/fit-in/360x360/6e/29/6e291e70a1c2bb32aa828f63f691dc8d.jpg
17|Charles Dickens|David Copperfield|1850|"La novela narra la vida de David Copperfield desde su infancia hasta la adultez, mostrando sus luchas contra la pobreza, la pérdida, y los abusos, mientras persigue sus sueños y encuentra su lugar en el mundo. A lo largo del camino, conoce personajes inolvidables como el astuto Uriah Heep, el bondadoso señor Micawber y su primer amor Dora. Considerada en parte autobiográfica, la obra aborda temas como la perseverancia, la injusticia social y la formación del carácter."|https://images.cdn1.buscalibre.com/fit-in/360x360/04/f4/04f4a03ab5618467284e7e9f918bf9b5.jpg
17|Charles Dickens|Historia de dos ciudades|1859|"Durante la Revolución Francesa, dos hombres idénticos en apariencia luchan por el amor de la misma mujer, en una historia de sacrificio, justicia y redención."|https://images.cdn2.buscalibre.com/fit-in/360x360/ce/2a/ce2a4dfa7f5bd7b8c6bd9567dddc757d.jpg
18|Mark Twain|Las aventuras de Tom Sawyer|1876|"Tom Sawyer vive travesuras y aventuras a orillas del río Misisipi, desde pintar vallas hasta presenciar un asesinato, todo mientras experimenta la infancia con valentía y curiosidad."|https://i.pinimg.com/736x/96/85/ff/9685ff8e02b337296c7bda52584c8206.jpg
18|Mark Twain|Las aventuras de Huckleberry Finn|1884|"Huck escapa con un esclavo fugitivo, Jim, y viajan por el Misisipi, cuestionando la moralidad de su sociedad en una obra que critica la esclavitud y la hipocresía del sur estadounidense."|https://images.cdn3.buscalibre.com/fit-in/360x360/6c/18/6c180e4ca30db66391758810bad0767d.jpg
19|Victor Hugo|Los Miserables|1862|"Jean Valjean, un exconvicto, busca redimirse y ayudar a los necesitados mientras es perseguido por el incansable inspector Javert, en una historia de justicia, amor y compasión."|https://imagessl6.casadellibro.com/a/l/s5/96/9788408015796.webp
19|Victor Hugo|Notre-Dame de París|1831|"El jorobado Quasimodo se enamora de la gitana Esmeralda en una historia trágica ambientada en el París medieval, donde la belleza interior y la injusticia social se enfrentan."|https://images.cdn1.buscalibre.com/fit-in/360x360/e0/cc/e0ccc4e3ef09e6e738c941ab2068740f.jpg
